"filename", "language", "CSV", "Markdown", "JSON", "JSON with Comments", "C++", "C", "comment", "blank", "total"
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/bring_rundown.cpp", "C++", 0, 0, 0, 0, 26, 0, 3, 8, 37
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/bring_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/clothing_rundown.cpp", "C++", 0, 0, 0, 0, 106, 0, 18, 24, 148
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/clothing_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/countdown_rundown.cpp", "C++", 0, 0, 0, 0, 158, 0, 12, 28, 198
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/countdown_rundown.hpp", "C++", 0, 0, 0, 0, 12, 0, 0, 3, 15
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/happy_roller_rundown.cpp", "C++", 0, 0, 0, 0, 28, 0, 0, 8, 36
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/happy_roller_rundown.hpp", "C++", 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/i_rundown.hpp", "C++", 0, 0, 0, 0, 10, 0, 0, 3, 13
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/info_more_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 1, 6, 23
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/info_more_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/info_rundown.cpp", "C++", 0, 0, 0, 0, 16, 0, 1, 6, 23
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/info_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_coming_rundown.cpp", "C++", 0, 0, 0, 0, 78, 0, 9, 14, 101
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_coming_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_not_coming_rundown.cpp", "C++", 0, 0, 0, 0, 84, 0, 10, 15, 109
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_not_coming_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_rundown.cpp", "C++", 0, 0, 0, 0, 64, 0, 8, 13, 85
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/low_battery_rundown.cpp", "C++", 0, 0, 0, 0, 14, 0, 1, 6, 21
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/low_battery_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
